# us-regex<TAB>au-form — flagged outside code only. Grouped suffixes avoid false
# positives (laboratory, literal, humorous, analog signal are NOT flagged).
organiz(e|es|ed|ing|ation|ations|er|ers)	organise/organisation
recogniz(e|es|ed|ing|able)	recognise
realiz(e|es|ed|ing|ation)	realise
analyz(e|es|ed|ing)	analyse
optimiz(e|es|ed|ing|ation|ations)	optimise
prioritiz(e|es|ed|ing|ation)	prioritise
minimiz(e|es|ed|ing)	minimise
maximiz(e|es|ed|ing)	maximise
authoriz(e|es|ed|ing|ation)	authorise
summariz(e|es|ed|ing)	summarise
customiz(e|es|ed|ing|ation)	customise
standardiz(e|es|ed|ing|ation)	standardise
finaliz(e|es|ed|ing)	finalise
visualiz(e|es|ed|ing|ation|ations)	visualise
color(s|ful|ed|ing)?	colour
favor(s|ed|ing|ite|ites|able)?	favour/favourite
honor(s|ed|ing)?	honour
labor(s|ed|ing)?	labour
behavior(s|al)?	behaviour
neighbor(s|hood|hoods|ing)?	neighbour
harbor(s|ed)?	harbour
flavor(s|ed|ing)?	flavour
humor(s)?	humour
rumor(s)?	rumour
endeavor(s|ed|ing)?	endeavour
rigor	rigour
center(s|ed|ing)?	centre
liter(s)?	litre
theater(s)?	theatre
caliber	calibre
fiber(s)?	fibre
traveling	travelling
traveled	travelled
canceling	cancelling
canceled	cancelled
modeling	modelling
labeling	labelling
jewelry	jewellery
counseling	counselling
fueled	fuelled
defense(s)?	defence
offense(s)?	offence
pretense	pretence
gray	grey
aluminum	aluminium
catalog(s|ed|ing)?	catalogue
enrollment	enrolment
installment	instalment
skillful	skilful
fulfill(s|ed|ing|ment)?	fulfil
gotten	got
mom(s)?	mum
